journal_name,pissn,eissn,impact_factor,best_quartile,all_quartiles
Novos Cadernos NAEA,1516-6481,2179-7536,0.1,Q4,Q4
Novum Jus,1692-6013,2500-8692,1.4,Q1,Q1
NOVUM TESTAMENTUM,0048-1009,,0.2,,
Novye Issledovaniya Tuvy-New Research of Tuva,,2079-8482,0.7,Q3,Q3
Novyi Filologicheskii Vestnik-New Philological Bulletin,2072-9316,2072-9316,0.1,,
Novyi Istoricheskii Vestnik-The New Historical Bulletin,2072-9286,2072-9286,0.3,Q2,Q2
NOVYI MIR,0130-7673,,<0.1,,
NOWELE-North-Western European Language Evolution,0108-8416,2212-9715,0.2,,
NPG Asia Materials,1884-4049,1884-4057,9.0,Q1,Q1
npj 2D Materials and Applications,,2397-7132,9.2,Q1,Q1
npj Aging,,2731-6068,13.0,Q1,Q1
npj Antimicrobials and Resistance,,2731-8745,13.6,Q1,Q1
npj Biodiversity,,2731-4243,10.7,Q1,Q1
npj Biofilms and Microbiomes,,2055-5008,11.4,Q1,Q1
npj Breast Cancer,,2374-4677,8.4,Q1,Q1
npj Clean Water,2059-7037,2059-7037,11.0,Q1,Q1
npj Climate Action,,2731-9814,5.8,Q1,Q1
npj Climate and Atmospheric Science,2397-3722,2397-3722,9.6,Q1,Q1
npj Computational Materials,,2057-3960,13.1,Q1,Q1
npj Digital Medicine,2398-6352,2398-6352,18.0,Q1,Q1
npj Flexible Electronics,,2397-4621,15.4,Q1,Q1
npj Genomic Medicine,,2056-7944,5.3,Q1,Q1
npj Heritage Science,,3059-3220,,,
npj Materials Degradation,,2397-2106,7.5,Q1,Q1
npj Mental Health Research,,2731-4251,9.1,Q1,Q1
NPJ Microgravity,,2373-8065,4.9,Q1,Q1
npj Ocean Sustainability,,2731-426X,8.8,Q1,Q1
npj Parkinsons Disease,,2373-8057,8.5,Q1,Q1
npj Precision Oncology,,2397-768X,9.9,Q1,Q1
npj Primary Care Respiratory Medicine,,2055-1010,4.7,Q1,Q1
npj Quantum Information,,2056-6387,9.0,Q1,Q1
npj Quantum Materials,,2397-4648,6.6,Q1,Q1|Q2
npj Regenerative Medicine,,2057-3995,7.0,Q1,Q1
npj Science of Food,,2396-8370,9.7,Q1,Q1
npj Science of Learning,,2056-7936,4.3,Q1,Q1|Q2
npj Systems Biology and Applications,,2056-7189,4.4,Q1,Q1
npj Urban Sustainability,,2661-8001,10.9,Q1,Q1
npj Vaccines,,2059-0105,7.2,Q1,Q1
npj Viruses,,2948-1767,3.5,Q2,Q2
NTM,0036-6978,1420-9144,0.3,Q3,Q3
NTU Management Review,1018-1601,2410-2490,0.2,Q4,Q4
NTUT Journal of Intellectual Property Law and Management,2226-6771,2226-6771,<0.1,Q4,Q4
Nuances-Estudos sobre Educacao,2236-0441,2236-0441,0.3,Q4,Q4
NUCLEAR DATA SHEETS,0090-3752,1095-9904,2.5,Q2,Q2
NUCLEAR ENGINEERING AND DESIGN,0029-5493,1872-759X,2.5,Q1,Q1
Nuclear Engineering and Technology,1738-5733,1738-5733,2.9,Q1,Q1
NUCLEAR FUSION,0029-5515,1741-4326,4.1,Q1,Q1
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,0168-9002,1872-9576,1.5,Q3,Q3
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS,0168-583X,1872-9584,1.5,Q3,Q3|Q4
Nuclear Materials and Energy,,2352-1791,2.8,Q1,Q1
NUCLEAR MEDICINE AND BIOLOGY,0969-8051,1872-9614,3.1,Q2,Q2
Nuclear Medicine and Molecular Imaging,1869-3474,1869-3482,2.3,Q2,Q2
NUCLEAR MEDICINE COMMUNICATIONS,0143-3636,1473-5628,1.4,Q3,Q3
NUCLEAR MEDICINE REVIEW,1506-9680,1644-4345,1.2,Q4,Q4
NUCLEAR PHYSICS A,0375-9474,1873-1554,1.9,Q3,Q3
Nuclear Physics and Atomic Energy,1818-331X,2074-0565,0.4,Q4,Q4
NUCLEAR PHYSICS B,0550-3213,1873-1562,2.9,Q2,Q2
NUCLEAR SCIENCE AND ENGINEERING,0029-5639,1943-748X,1.2,Q3,Q3
Nuclear Science and Techniques,1001-8042,2210-3147,4.7,Q1,Q1
NUCLEAR TECHNOLOGY,0029-5450,1943-7471,1.7,Q3,Q3
Nuclear Technology & Radiation Protection,1451-3994,1452-8185,1.3,Q3,Q3
Nucleic Acid Therapeutics,2159-3337,2159-3345,4.5,Q2,Q2
NUCLEIC ACIDS RESEARCH,0305-1048,1362-4962,15.0,Q1,Q1
NUCLEOSIDES NUCLEOTIDES & NUCLEIC ACIDS,1525-7770,1532-2335,1.0,Q4,Q4
Nucleus,1949-1034,1949-1042,5.5,Q2,Q2
NUCLEUS-INDIA,0029-568X,0976-7975,1.4,Q4,Q4
Nueva Revista Filologia Hispanica,0185-0121,2448-6558,0.3,,
Nuevo Pensamiento-Revista de Filosofia,1853-7596,1853-7596,<0.1,,
NUKLEARMEDIZIN-NUCLEAR MEDICINE,0029-5566,2567-6407,1.5,Q3,Q3
NUKLEONIKA,0029-5922,1508-5791,0.9,Q4,Q4
NUMEN-INTERNATIONAL REVIEW FOR THE HISTORY OF RELIGIONS,0029-5973,1568-5276,0.5,Q1,Q1
Numen-Revista de Estudos e Pesquisa da Religiao,1516-1021,2236-6296,<0.1,,
Numerical Algebra Control and Optimization,2155-3289,2155-3297,1.0,Q3,Q3
NUMERICAL ALGORITHMS,1017-1398,1572-9265,2.5,Q1,Q1
Numerical Analysis and Applications,1995-4239,1995-4247,0.3,Q4,Q4
NUMERICAL FUNCTIONAL ANALYSIS AND OPTIMIZATION,0163-0563,1532-2467,1.5,Q2,Q2
NUMERICAL HEAT TRANSFER PART A-APPLICATIONS,1040-7782,1521-0634,3.8,Q2,Q2
NUMERICAL HEAT TRANSFER PART B-FUNDAMENTALS,1040-7790,1521-0626,3.7,Q2,Q2
NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS,1070-5325,1099-1506,1.4,Q1,Q1|Q2
Numerical Mathematics-Theory Methods and Applications,1004-8979,2079-7338,1.1,Q2,Q2|Q3
NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS,0749-159X,1098-2426,1.4,Q2,Q2
NUMERISCHE MATHEMATIK,0029-599X,0945-3245,2.1,Q1,Q1
Nuncius-Journal of the History of Science,0394-7394,1825-3911,0.3,Q3,Q3
NUOVA RIVISTA STORICA,0029-6236,,0.1,Q3,Q3
Nuovo Cimento C-Colloquia and Communications in Physics,2037-4909,1826-9885,0.3,Q4,Q4
Nurse Education in Practice,1471-5953,1873-5223,4.5,Q1,Q1
NURSE EDUCATION TODAY,0260-6917,1532-2793,4.7,Q1,Q1
Nurse Educator,0363-3624,1538-9855,2.8,Q1,Q1
Nurse Leader,1541-4612,1541-4620,1.7,Q3,Q3
NURSE PRACTITIONER,0361-1817,1538-8662,1.1,Q3,Q3
Nurse Researcher,1351-5578,2047-8992,2.2,Q2,Q2
Nursing and Midwifery Studies,2322-1488,2322-1674,1.0,Q4,Q4
NURSING CLINICS OF NORTH AMERICA,0029-6465,1558-1357,1.3,Q3,Q3
NURSING ECONOMICS,0746-1739,,0.9,Q4,Q4
Nursing Education Perspectives,1536-5026,1943-4685,1.5,Q2,Q2
NURSING ETHICS,0969-7330,1477-0989,3.8,Q1,Q1
Nursing for Womens Health,1751-4851,1751-486X,1.0,Q4,Q4
NURSING FORUM,0029-6473,1744-6198,1.9,Q2,Q2
Nursing & Health Sciences,1441-0745,1442-2018,2.1,Q2,Q2
NURSING HISTORY REVIEW,1062-8061,1938-1913,0.2,Q3,Q3
Nursing in Critical Care,1362-1017,1478-5153,2.8,Q1,Q1
Nursing Inquiry,1320-7881,1440-1800,3.2,Q1,Q1
Nursing Open,2054-1058,2054-1058,3.1,Q1,Q1
NURSING OUTLOOK,0029-6554,1528-3968,3.8,Q1,Q1
Nursing Philosophy,1466-7681,1466-769X,2.0,Q2,Q2
Nursing Practice Today,2383-1154,2383-1162,1.5,Q3,Q3
Nursing Reports,2039-439X,2039-4403,3.1,Q1,Q1
NURSING RESEARCH,0029-6562,1538-9847,2.5,Q2,Q2
Nursing Research and Practice,2090-1429,2090-1437,2.5,Q2,Q2
Nursing-Research and Reviews,2230-522X,2230-522X,1.8,Q3,Q3
NURSING SCIENCE QUARTERLY,0894-3184,1552-7409,0.9,Q4,Q4
Nusantara Bioscience,2087-3948,2087-3956,0.7,Q4,Q4
Nutricion Clinica y Dietetica Hospitalaria,0211-6057,1989-208X,0.6,Q4,Q4
Nutricion Hospitalaria,0212-1611,1699-5198,1.3,Q4,Q4
NUTRIENT CYCLING IN AGROECOSYSTEMS,1385-1314,1573-0867,3.2,Q3,Q3
Nutrients,,2072-6643,5.8,Q1,Q1
Nutrire,,2316-7874,1.5,Q4,Q4
NUTRITION,0899-9007,1873-1244,3.6,Q2,Q2
NUTRITION AND CANCER-AN INTERNATIONAL JOURNAL,0163-5581,1532-7914,2.7,Q3,Q3
Nutrition and Dietary Supplements,1179-1489,1179-1489,1.7,Q4,Q4
NUTRITION AND HEALTH,0260-1060,2047-945X,1.4,Q4,Q4
Nutrition and Metabolic Insights,1178-6388,1178-6388,2.3,Q3,Q3
NUTRITION BULLETIN,1471-9827,1467-3010,3.6,Q2,Q2
Nutrition Clinique et Metabolisme,0985-0562,1768-3092,0.4,Q4,Q4
Nutrition & Diabetes,2044-4052,2044-4052,5.7,Q1,Q1
Nutrition & Dietetics,1446-6368,1747-0080,3.4,Q2,Q2
Nutrition & Food Science,0034-6659,1758-6917,1.3,Q4,Q4
NUTRITION IN CLINICAL PRACTICE,0884-5336,1941-2452,2.7,Q3,Q3
Nutrition Journal,,1475-2891,5.7,Q1,Q1
Nutrition & Metabolism,,1743-7075,3.9,Q2,Q2
NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,0939-4753,1590-3729,3.9,Q2,Q2
NUTRITION RESEARCH,0271-5317,1879-0739,3.6,Q2,Q2
Nutrition Research and Practice,1976-1457,2005-6168,2.1,Q3,Q3
NUTRITION RESEARCH REVIEWS,0954-4224,1475-2700,7.5,Q1,Q1
NUTRITION REVIEWS,0029-6643,1753-4887,6.3,Q1,Q1
NUTRITIONAL NEUROSCIENCE,1028-415X,1476-8305,3.1,Q2,Q2|Q3
NWIG-New West Indian Guide-Nieuwe West-Indische Gids,1382-2373,1382-2373,0.7,Q2,Q2
OASIS-Observatorio de Analisis de los Sistemas Internacionales,1657-7558,2346-2132,0.4,Q4,Q4
Obere Extremitaet-Schulter-Ellenbogen-Hand-Upper Extremity-Shoulder Elbow Hand,1862-6599,1862-6602,0.2,Q4,Q4
Obesities,,2673-4168,1.6,Q4,Q4
Obesity,1930-7381,1930-739X,4.9,Q1,Q1
Obesity Facts,1662-4025,1662-4033,4.1,Q2,Q2
Obesity Pillars,,2667-3681,5.3,Q1,Q1
Obesity Research & Clinical Practice,1871-403X,1878-0318,2.4,Q3,Q3
Obesity Reviews,1467-7881,1467-789X,7.6,Q1,Q1
Obesity Science & Practice,2055-2238,2055-2238,2.5,Q3,Q3
OBESITY SURGERY,0960-8923,1708-0428,3.4,Q1,Q1
OBETS-Revista de Ciencias Sociales,1989-1385,1989-1385,0.8,Q3,Q3
Obra Digital-Revista de Comunicacion,2014-5039,2014-5039,0.4,Q4,Q4
Obrabotka Metallov-Metal Working and Material Science,1994-6309,2541-819X,0.4,Q4,Q4
Obradoiro de Historia Moderna,1133-0481,2340-0013,0.7,Q1,Q1
Obrana a Strategie-Defence & Strategy,1214-6463,1802-7199,1.0,Q3,Q3
Obrazovanie i Nauka-Education and Science,1994-5639,2310-5828,0.5,Q4,Q4
Observar,1988-5105,1988-5105,0.5,,
Observatorio Medioambiental,1139-1987,1988-3277,0.1,Q4,Q4
OBSERVATORY,0029-7704,,1.3,Q3,Q3
Obstetric Medicine,1753-495X,1753-4968,0.7,Q4,Q4
OBSTETRICAL & GYNECOLOGICAL SURVEY,0029-7828,1533-9866,4.7,Q1,Q1
Obstetrician & Gynaecologist,1467-2561,1744-4667,1.3,Q4,Q4
OBSTETRICS AND GYNECOLOGY,0029-7844,0029-7844,5.1,Q1,Q1
OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA,0889-8545,1558-0474,1.9,Q3,Q3
Obstetrics and Gynecology International,1687-9589,1687-9597,2.1,Q2,Q2
Obstetrics & Gynecology Science,2287-8572,2287-8580,2.5,Q2,Q2
Occasional Papers on Religion in Eastern Europe,,2693-2229,0.3,,
OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,1351-0711,1470-7926,3.2,Q2,Q2
Occupational Health Science,2367-0134,2367-0142,2.4,Q2,Q2|Q3
OCCUPATIONAL MEDICINE-OXFORD,0962-7480,1471-8405,2.4,Q2,Q2
OCCUPATIONAL THERAPY IN HEALTH CARE,0738-0577,1541-3098,0.9,Q4,Q4
Occupational Therapy in Mental Health,0164-212X,1541-3101,0.8,Q4,Q4
Occupational Therapy International,0966-7903,1557-0703,2.2,Q2,Q2
Ocean and Coastal Research,,2675-2824,1.3,Q3,Q3|Q4
OCEAN & COASTAL MANAGEMENT,0964-5691,1873-524X,5.9,Q1,Q1
OCEAN DEVELOPMENT AND INTERNATIONAL LAW,0090-8320,1521-0642,1.9,Q1,Q1|Q2
OCEAN DYNAMICS,1616-7341,1616-7228,2.5,Q2,Q2
Ocean Engineering,0029-8018,1873-5258,6.3,Q1,Q1
Ocean-Land-Atmosphere Research,,2771-0378,5.4,Q1,Q1
OCEAN MODELLING,1463-5003,1463-5011,3.1,Q2,Q2|Q3
Ocean Science,1812-0784,1812-0792,3.9,Q1,Q1|Q2
Ocean Science Journal,1738-5261,2005-7172,1.5,Q3,Q3
Ocean Systems Engineering-An International Journal,2093-6702,2093-677X,1.0,Q4,Q4
Ocean Yearbook,0191-8575,2211-6001,1.0,Q4,Q4
OCEANIA,0029-8077,1834-4461,0.6,Q3,Q3
OCEANIC LINGUISTICS,0029-8115,1527-9421,0.5,,
OCEANOGRAPHY,1042-8275,1042-8275,2.7,Q2,Q2
OCEANOLOGIA,0078-3234,2300-7370,2.6,Q2,Q2
OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES,1730-413X,1897-3191,0.8,Q4,Q4
OCEANOLOGY,0001-4370,1531-8508,0.7,Q4,Q4
Oceans-Switzerland,,2673-1924,2.5,Q2,Q2
Ochrona Przed Korozja,0473-7733,2449-9501,0.4,Q4,Q4
Ochsner Journal,1524-5012,2831-4107,1.5,Q2,Q2
OCL-Oilseeds and Fats Crops and Lipids,2272-6977,2257-6614,1.6,Q3,Q3
Ocnos-Journal of Reading Research,1885-446X,2254-9099,0.8,Q3,Q3
OCTOBER,0162-2870,1536-013X,0.2,,
OCULAR IMMUNOLOGY AND INFLAMMATION,0927-3948,1744-5078,1.7,Q3,Q3
Ocular Oncology and Pathology,2296-4681,2296-4657,1.2,Q4,Q4
Ocular Surface,1542-0124,1937-5913,6.6,Q1,Q1
ODONATOLOGICA,0375-0183,0375-0183,0.5,Q4,Q4
Odontoestomatologia,0797-0374,1688-9339,0.3,Q4,Q4
Odontology,1618-1247,1618-1255,2.6,Q2,Q2
Odovtos International Journal of Dental Sciences,1659-1046,2215-3411,0.9,Q4,Q4
OECOLOGIA,0029-8549,1432-1939,2.5,Q2,Q2
Oeconomia Copernicana,2083-1277,2353-1827,13.8,Q1,Q1
Oeconomia-History Methodology Philosophy,2113-5207,2269-8450,0.7,Q4,Q4
OENO One,,2494-1271,3.0,Q2,Q2|Q3
OFIOLITI,0391-2612,,0.5,Q4,Q4
Ogigia-Revista Electronica de Estudios Hispanicos,1887-3731,1887-3731,0.4,,
Oido Pensante,2250-7116,2250-7116,0.4,,
OIKOS,0030-1299,1600-0706,3.0,Q2,Q2
Oil Crop Science,2096-2428,2666-626X,4.4,Q1,Q1
OIL SHALE,0208-189X,1736-7492,1.9,Q2,Q2|Q4
OLBA,1301-7667,,0.1,,
Olho d Agua,2177-3807,2177-3807,<0.1,,
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,0305-0483,1873-5274,6.9,Q1,Q1
OMEGA-JOURNAL OF DEATH AND DYING,0030-2228,1541-3764,1.5,Q3,Q3
OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,1536-2310,1557-8100,2.0,Q3,Q3|Q4
On the Horizon,1074-8121,2054-1708,1.6,Q2,Q2
On the Waterfront,1139-7365,1139-7365,0.4,,
Onati Socio-Legal Series,,2079-5971,0.6,Q2,Q2
ONCOGENE,0950-9232,1476-5594,9.1,Q1,Q1
Oncogenesis,2157-9024,2157-9024,6.0,Q1,Q1
OncoImmunology,2162-402X,2162-402X,6.2,Q1,Q1
Oncologie,1292-3818,1765-2839,2.1,Q3,Q3
ONCOLOGIST,1083-7159,1549-490X,4.7,Q2,Q2
ONCOLOGY,0030-2414,1423-0232,1.9,Q4,Q4
Oncology and Therapy,2366-1070,2366-1089,3.4,Q2,Q2
Oncology in Clinical Practice,2450-1654,2450-6478,0.5,Q4,Q4
Oncology Letters,1792-1074,1792-1082,2.1,Q3,Q3
ONCOLOGY-NEW YORK,0890-9091,2767-7389,2.0,Q4,Q4
ONCOLOGY NURSING FORUM,0190-535X,1538-0688,1.7,Q3,Q3|Q4
ONCOLOGY REPORTS,1021-335X,1791-2431,4.7,Q2,Q2
ONCOLOGY RESEARCH,0965-0407,1555-3906,4.6,Q2,Q2
Oncology Research and Treatment,2296-5270,2296-5262,1.4,Q4,Q4
Oncology Reviews,1970-5565,1970-5557,4.0,Q2,Q2
OncoTargets and Therapy,1178-6930,1178-6930,2.4,Q3,Q3
ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH,0030-2465,2219-0635,1.6,Q2,Q2
One Earth,2590-3330,2590-3322,15.5,Q1,Q1
One Ecosystem,,2367-8194,1.9,Q3,Q3|Q4
One Health,,2352-7714,5.3,Q1,Q1
One Health Advances,,2731-9970,5.0,Q1,Q1
One Health Outlook,2524-4655,2524-4655,5.9,Q1,Q1
Onkologie,2731-7226,2731-7234,0.2,Q4,Q4
Onkologija,1408-1741,1581-3215,0.1,Q4,Q4
Onkourologiya,1726-9776,1996-1812,0.1,Q4,Q4
ONLINE INFORMATION REVIEW,1468-4527,1468-4535,3.8,Q1,Q1|Q2
Online Journal of Communication and Media Technologies,1986-3497,1986-3497,2.3,Q2,Q2
Online Journal of Public Health Informatics,,1947-2579,1.4,Q4,Q4
Online Learning,2472-5749,2472-5730,3.1,Q1,Q1
Online Social Networks and Media,,2468-6964,3.6,Q1,Q1|Q2
Onoma,0078-463X,1783-1644,0.2,Q4,Q4
Onomazein,0717-1285,0718-5758,0.3,Q4,Q4
OPEC Energy Review,1753-0229,1753-0237,2.3,Q2,Q2
Open Access Emergency Medicine,1179-1500,1179-1500,1.7,Q2,Q2
Open Access Journal of Clinical Trials,1179-1519,1179-1519,0.8,Q4,Q4
Open Access Journal of Contraception,,1179-1527,2.8,Q2,Q2
Open Access Journal of Sports Medicine,1179-1543,1179-1543,2.1,Q2,Q2
Open Access Rheumatology-Research and Reviews,1179-156X,1179-156X,3.4,Q2,Q2
Open Agriculture,2391-9531,2391-9531,1.7,Q2,Q2
Open Archaeology,2300-6560,2300-6560,1.3,,
Open Astronomy,,2543-6376,0.5,Q4,Q4
Open Biology,,2046-2441,3.1,Q3,Q3
Open Cardiovascular Medicine Journal,,1874-1924,0.5,Q4,Q4
Open Ceramics,2666-5395,2666-5395,3.4,Q1,Q1
Open Chemistry,2391-5420,2391-5420,2.4,Q3,Q3
Open Computer Science,2299-1093,2299-1093,1.2,Q3,Q3
Open Cultural Studies,2451-3474,2451-3474,0.4,Q3,Q3
Open Dentistry Journal,1874-2106,1874-2106,0.9,Q4,Q4
OPEN ECONOMIES REVIEW,0923-7992,1573-708X,0.9,Q3,Q3
Open Engineering,2391-5439,2391-5439,1.4,Q3,Q3
Open Forum Infectious Diseases,2328-8957,2328-8957,3.8,Q2,Q2
Open Geosciences,2391-5447,2391-5447,1.7,Q3,Q3
Open Heart,2053-3624,2053-3624,3.1,Q2,Q2
Open House International-Sustainable & Smart Architecture and Urban Studies,0168-2601,2633-9838,2.5,Q2,Q2|Q3
Open Insight,2007-2406,2395-8936,0.1,,
Open Learning,0268-0513,1469-9958,2.4,Q2,Q2
Open Library of Humanities,,2056-6700,0.6,,
Open Life Sciences,2391-5412,2391-5412,2.3,Q2,Q2
Open Linguistics,2300-9969,2300-9969,0.8,Q3,Q3
Open Mathematics,2391-5455,2391-5455,0.8,Q2,Q2
Open Medicine,2391-5463,2391-5463,1.8,Q2,Q2
Open Mind-Discoveries in Cognitive Science,,2470-2986,2.9,Q2,Q2
Open Ophthalmology Journal,1874-3641,1874-3641,0.6,Q4,Q4
Open Philosophy,,2543-8875,0.2,,
Open Physics,2391-5471,2391-5471,2.8,Q2,Q2
Open Praxis,2304-070X,2304-070X,5.0,Q1,Q1
OPEN SYSTEMS & INFORMATION DYNAMICS,1230-1612,1793-7191,1.4,Q2,Q2|Q3
Open Theology,2300-6579,2300-6579,0.7,,
Open Veterinary Journal,2226-4485,2218-6050,1.6,Q2,Q2
OPERA,0030-3526,0030-3526,0.1,,
Opera-Colombia,1657-8651,2346-2159,0.1,Q4,Q4
OPERA QUARTERLY,0736-0053,1476-2870,0.1,,
Operational Research,1109-2858,1866-1505,3.0,Q2,Q2
Operations and Supply Chain Management-An International Journal,1979-3561,2579-9363,2.2,Q3,Q3
Operations Management Research,1936-9735,1936-9743,6.2,Q1,Q1
OPERATIONS RESEARCH,0030-364X,,3.0,Q2,Q2|Q3
Operations Research and Decisions,2081-8858,2391-6060,1.3,Q4,Q4
Operations Research for Health Care,2211-6923,2211-6923,1.5,Q4,Q4
OPERATIONS RESEARCH LETTERS,0167-6377,1872-7468,1.0,Q4,Q4
Operations Research Perspectives,,2214-7160,3.3,Q2,Q2
OPERATIVE DENTISTRY,0361-7734,1559-2863,2.3,Q2,Q2
Operative Neurosurgery,2332-4252,2332-4260,1.6,Q3,Q3|Q4
Operative Orthopadie und Traumatologie,0934-6694,1439-0981,1.1,Q4,Q4
Operative Techniques in Orthopaedics,1048-6666,1558-3848,0.3,Q4,Q4
OPERATIVE TECHNIQUES IN SPORTS MEDICINE,1060-1872,1557-9794,0.7,Q4,Q4
Operators and Matrices,1846-3886,1846-3886,0.7,Q3,Q3
OPHTHALMIC AND PHYSIOLOGICAL OPTICS,0275-5408,1475-1313,3.4,Q1,Q1
OPHTHALMIC EPIDEMIOLOGY,0928-6586,1744-5086,1.6,Q3,Q3
OPHTHALMIC GENETICS,1381-6810,1744-5094,1.0,Q4,Q4
OPHTHALMIC PLASTIC AND RECONSTRUCTIVE SURGERY,0740-9303,1537-2677,1.6,Q3,Q3
OPHTHALMIC RESEARCH,0030-3747,1423-0259,2.1,Q3,Q3
Ophthalmic Surgery Lasers & Imaging Retina,2325-8160,2325-8179,1.1,Q3,Q3|Q4
OPHTHALMOLOGICA,0030-3755,1423-0267,2.3,Q2,Q2
Ophthalmologie,2731-720X,2731-7218,0.6,Q4,Q4
OPHTHALMOLOGY,0161-6420,1549-4713,10.9,Q1,Q1
Ophthalmology and Therapy,2193-8245,2193-6528,4.2,Q1,Q1
Ophthalmology Glaucoma,2589-4234,2589-4196,3.3,Q1,Q1
Ophthalmology Retina,2468-6530,,5.9,Q1,Q1
Ophthalmology Science,2666-9145,2666-9145,5.0,Q1,Q1
Opir Materialiv i Teoria Sporud-Strength of Materials and Theory of Structures,,2410-2547,0.4,Q4,Q4
Opsearch,0030-3887,0975-0320,1.7,Q3,Q3
Optica,2334-2536,2334-2536,8.8,Q1,Q1
OPTICA APPLICATA,0078-5466,1899-7015,0.5,Q4,Q4
Optica Pura y Aplicada,0030-3917,2171-8814,0.2,Q4,Q4
Optica Quantum,,2837-6714,5.1,Q1,Q1
OPTICAL ENGINEERING,0091-3286,1560-2303,1.2,Q4,Q4
OPTICAL FIBER TECHNOLOGY,1068-5200,1095-9912,2.7,Q2,Q2|Q3
OPTICAL MATERIALS,0925-3467,1873-1252,4.3,Q2,Q2
Optical Materials Express,2159-3930,2159-3930,2.6,Q2,Q2|Q3
OPTICAL MEMORY AND NEURAL NETWORKS,1060-992X,1934-7898,0.9,Q4,Q4
OPTICAL REVIEW,1340-6000,1349-9432,1.0,Q4,Q4
Optical Switching and Networking,1573-4277,1872-9770,5.5,Q1,Q1
Optics,,2673-3269,1.8,Q3,Q3
OPTICS AND LASER TECHNOLOGY,0030-3992,1879-2545,5.2,Q1,Q1
OPTICS AND LASERS IN ENGINEERING,0143-8166,1873-0302,4.2,Q2,Q2
OPTICS AND SPECTROSCOPY,0030-400X,1562-6911,0.7,Q4,Q4
OPTICS COMMUNICATIONS,0030-4018,1873-0310,2.7,Q2,Q2
Optics Continuum,,2770-0208,1.5,Q3,Q3
OPTICS EXPRESS,1094-4087,1094-4087,3.4,Q2,Q2
OPTICS LETTERS,0146-9592,1539-4794,3.3,Q2,Q2
OPTIMAL CONTROL APPLICATIONS & METHODS,0143-2087,1099-1514,2.1,Q1,Q1|Q3
OPTIMIZATION,0233-1934,1029-4945,1.8,Q2,Q2|Q3
OPTIMIZATION AND ENGINEERING,1389-4420,1573-2924,2.3,Q2,Q2|Q3
Optimization Letters,1862-4472,1862-4480,1.3,Q2,Q2|Q4
OPTIMIZATION METHODS & SOFTWARE,1055-6788,1029-4937,1.5,Q2,Q2|Q3|Q4
Opto-Electronic Advances,2096-4579,2097-3993,22.4,Q1,Q1
Opto-Electronic Science,2097-0382,2097-4000,26.9,Q1,Q1
OPTO-ELECTRONICS REVIEW,1230-3402,1896-3757,0.9,Q4,Q4
Optoelectronics and Advanced Materials-Rapid Communications,1842-6573,2065-3824,0.5,Q4,Q4
Optoelectronics Instrumentation and Data Processing,8756-6990,1934-7944,0.4,Q4,Q4
Optoelectronics Letters,1673-1905,1993-5013,1.4,Q4,Q4
OPTOMETRY AND VISION SCIENCE,1040-5488,1538-9235,2.4,Q2,Q2
Opus,1517-7017,1517-7017,0.2,,
Opuscula-Annual of the Swedish Institutes at Athens and Rome,2000-0898,2000-0898,0.2,,
Opuscula Mathematica,1232-9274,2300-6919,2.2,Q1,Q1
OR SPECTRUM,0171-6468,1436-6304,2.3,Q3,Q3
Oral and Maxillofacial Surgery Clinics of North America,1042-3699,1558-1365,1.3,Q3,Q3
Oral and Maxillofacial Surgery-Heidelberg,1865-1550,1865-1569,1.6,Q3,Q3
ORAL DISEASES,1354-523X,1601-0825,3.1,Q1,Q1
Oral-Health Diseases Therapies and Technologies,2673-6373,2673-6373,1.5,Q3,Q3
Oral Health & Preventive Dentistry,1602-1622,1757-9996,1.7,Q3,Q3
Oral History Review,0094-0798,1533-8592,1.4,Q1,Q1
Oral & Maxillofacial Pathology Journal,0976-1225,2322-0384,0.1,Q4,Q4
ORAL ONCOLOGY,1368-8375,1879-0593,4.0,Q1,Q1|Q2
Oral Radiology,0911-6028,1613-9674,2.3,Q2,Q2
Oral Science International,1348-8643,1881-4204,0.5,Q4,Q4
Oral Surgery Oral Medicine Oral Pathology Oral Radiology,2212-4403,2212-4411,2.4,Q2,Q2
ORBIS LITTERARUM,0105-7510,1600-0730,0.3,,
Orbis Tertius,1851-7811,1851-7811,<0.1,,
Orbit-The International Journal on Orbital Disorders-Oculoplastic and Lacrimal Surgery,0167-6830,1744-5108,0.8,Q4,Q4
Orbital-The Electronic Journal of Chemistry,1984-6428,1984-6428,0.8,Q4,Q4
ORDER-A JOURNAL ON THE THEORY OF ORDERED SETS AND ITS APPLICATIONS,0167-8094,1572-9273,0.4,Q4,Q4
